Name,Address,Wards,Cuisine,Price,WebsiteUrl,Award,FacilitiesAndServices,Description,,,
Asakusa Hirayama,"1-3-14 Nishiasakusa, Taito-ku, Tokyo, 111-0035, Japan",Bunkyo/Sumida/Taito,Japanese,¥,,Bib Gourmand,"Air conditioning,Counter dining","Owner-chef Hirayama’s soba journey began in New York, where he witnessed soba noodles being made. Aspiring to become a soba chef, upon his return to Japan he apprenticed at a Tokyo-style soba shop and his potential was noticed at a kappo. Both these threads of experience are evident at Asakusa Hirayama. In recognition of Tokyo gastronomic traditions, he favours a rich dipping sauce. The kaeshi for his kake soba uses a light soy sauce, taking a page from his simmered and boiled dishes.",,,
Chukasoba KOTETSU,"2-39-13 Kitazawa, Setagaya-ku, Tokyo, 155-0031, Japan",Setagaya/Shinagawa,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","The name ‘Kotetsu’ was Tetsuya Oshima’s nickname as a child. He trained at a restaurant specialising in pork broth with soy sauce, but for his own place he chose Chinese noodles to appeal to a broader customer base. He uses three kinds of dried fish shavings to make the dashi and adds fish sauce made from squid to the kaeshi to give it more depth. The thin noodles have little water content and remain firm. Order the backfat topping if you enjoy the sweetness of pork fat.",,,
Chukasoba Nishino,"3-30-7 Hongo, Bunkyo-ku, Tokyo, 113-0033, Japan",Bunkyo/Sumida/Taito,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","‘Nishino’ is not the owner-chef’s name - uniquely, the place is named after a young female pop star with whom he is infatuated. The menu carries only two items, ramen and sansho (Japanese pepper) ramen. Seeking a flavour similar to udon dashi, he creates soup by mixing dried-sardine dashi with white soy-based sauce. His devotion shines in the Narutomaki fish cake, which forms a hiragana no (の). Listening to girl-band tunes while slurping noodles is this shop’s one-of-a-kind experience.",,,
Edosoba Hosokawa,"1-6-5 Kamezawa, Sumida-ku, Tokyo, 130-0014, Japan",Bunkyo/Sumida/Taito,Japanese,¥,https://www.edosoba-hosokawa.jp/,Bib Gourmand,"Air conditioning,Cash only","Chef Hosokawa tours producing regions in search of the highest-quality buckwheat. He kneads his soba noodles reverently and you can compare buckwheat from different regions, tasting the unique character the terroir impart to each. The spring ‘Wakatake’ with bamboo shoots and wakame is fragrant with the aroma of young pepper leaves. In summer, ‘Hiyakaki’ includes the luxury of large oysters. Visiting to taste the soba of each season is one of the pleasures of Edosoba Hosokawa.",,,
grill GRAND,"3-24-6 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,Japanese,¥,,Bib Gourmand,Air conditioning,"The charm of a Showa-era (1926–1989) Western eatery. In true Asakusa style, the whole family pitches in. Brothers race to finish shredding the cabbage, with the winner allowed to prepare food. This time it falls on the elder brother to wait on tables. Hamburger steak, rice-stuffed omelette, beef stew and other ‘Japanese-Western’ favourites remind patrons of the good old days. With the teachings of their grandfather and father in their hearts, the family upholds the goodness of Asakusa.",,,
Hashimoto,"2-5-7 Suido, Bunkyo-ku, Tokyo, 112-0005, Japan",Bunkyo/Sumida/Taito,Japanese,¥,https://www.unagi-hashimoto.jp/,Bib Gourmand,Air conditioning,"The aroma of kabayaki drifts as far as the north end of the Ishikiri Bridge over the Kanda River. The restaurant opened in 1835 and has been run by the same family ever since. Sixth-generation owner-chef Shinji Hashimoto handles the unagi. The unagi he uses is at least a year old, ensuring, he says, the best texture and flavour; he grills it plain and steams it according to Edo tradition. The recipe for the sauce has been passed down from the time of the founder.",,,
Onigiri Asakusa Yadoroku,"3-9-10 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,Japanese,¥,http://onigiriyadoroku.com/,Bib Gourmand,"Air conditioning,Cash only,Counter dining","Ingredients are displayed behind a glass case, as in a sushi shop. Yosuke Miura, the third-generation owner-chef, listens to his customer’s order and immediately begins moulding it by hand. Before taking over the reins here, he was a flautist. In classical music, you play what’s written on the music sheet. Onigiri is the same, says Miura; you don’t try to do something new. Yadoroku is a score handed down from his grandmother, one which he will reproduce faithfully.",,,
SEIJOSEIKA,"3-1-11 Minamikarasuyama, Setagaya-ku, Tokyo, 157-0062, Japan",Setagaya/Shinagawa,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","The owner-chef fell under the spell of ramen, which he had with his grandfather when he was young. He then made up his mind to become a ramen artisan himself. His signature dish is ‘Shio Soba’. There’s a wonderful fragrance to the Japanese-style dashi, made from kombu and dried sardines. He cooks pork fillets over low heat to rare doneness and slices them thin. He serves the soup extra hot so that it can be enjoyed like shabu-shabu.",,,
Setagaya Chukasoba Soshigaya Nanachome Shokudo,"1-9-14 Soshigaya, Setagaya-ku, Tokyo, 157-0072, Japan",Setagaya/Shinagawa,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","The name of the restaurant includes the district’s name, to help endear it to the locals. Looking into the kitchen, you’ll see a cauldron and charcoal brazier. The signature ‘Setagaya Chinese Soba’ features dried boiled fish and Shodoshima soy sauce. Feel your stomach rumble to the spectacle of the pork being grilled over charcoal. The boiled noodles are poured into the bowl and carefully topped with lacto-fermented bamboo shoots and greens. It’s a simple deliciousness.",,,
Asakusa Hirayama,"1-3-14 Nishiasakusa, Taito-ku, Tokyo, 111-0035, Japan",Bunkyo/Sumida/Taito,Japanese,¥,,Bib Gourmand,"Air conditioning,Counter dining","Owner-chef Hirayama’s soba journey began in New York, where he witnessed soba noodles being made. Aspiring to become a soba chef, upon his return to Japan he apprenticed at a Tokyo-style soba shop and his potential was noticed at a kappo. Both these threads of experience are evident at Asakusa Hirayama. In recognition of Tokyo gastronomic traditions, he favours a rich dipping sauce. The kaeshi for his kake soba uses a light soy sauce, taking a page from his simmered and boiled dishes.",,,
